Voyager2.UTCGregorian      Voyager2.SunMJ2000Eq.X    Voyager2.SunMJ2000Eq.Y    Voyager2.SunMJ2000Eq.Z    Voyager2.SunMJ2000Eq.VX   Voyager2.SunMJ2000Eq.VY   Voyager2.SunMJ2000Eq.VZ   
29 Jan 1992 15:31:34.000   1248911965.767977         -4478857131.279446        -2854577533.42453         4.543082219984807         -4.884704926786762        -15.00116698000926        
30 Jan 1992 15:31:34.000   1249304485.00634          -4479279156.267868        -2855873625.595142        4.54301125515676          -4.884392039232621        -15.00096658910784        
31 Jan 1992 15:31:34.000   1249696998.112601         -4479701154.226653        -2857169700.451767        4.542940272863511         -4.884079241103198        -15.00076619344322        
01 Feb 1992 15:31:34.000   1250089505.08516          -4480123125.163597        -2858465757.994019        4.542869270979761         -4.88376653385634         -15.00056579365414        
02 Feb 1992 15:31:34.000   1250482005.922229         -4480545069.086616        -2859761798.221571        4.54279824733198          -4.883453919113336        -15.00036539044423        
03 Feb 1992 15:31:34.000   1250874500.621837         -4480966986.00378         -2861057821.134166        4.542727199730493         -4.883141398641982        -15.00016498457951        
04 Feb 1992 15:31:34.000   1251266989.181817         -4481388875.923307        -2862353826.731598        4.542656126002488         -4.882828974193819        -14.99996457684961        
05 Feb 1992 15:31:34.000   1251659471.599817         -4481810738.853581        -2863649815.013752        4.542585023962847         -4.882516647698713        -14.99976416811651        
06 Feb 1992 15:31:34.000   1252051947.873301         -4482232574.803149        -2864945785.980577        4.542513891442177         -4.882204421223779        -14.99956375931725        
07 Feb 1992 15:31:34.000   1252444417.999534         -4482654383.780753        -2866241739.632112        4.542442726184994         -4.881892297121626        -14.99936335151119        
08 Feb 1992 15:31:34.000   1252836881.975595         -4483076165.795342        -2867537675.968491        4.542371526008402         -4.881580277862136        -14.99916294583202        
09 Feb 1992 15:31:34.000   1253229339.798374         -4483497920.85609         -2868833594.989951        4.542300288781394         -4.881268366065008        -14.99896254350432        
10 Feb 1992 15:31:34.000   1253621791.464581         -4483919648.972402        -2870129496.696842        4.542229012412562         -4.880956564570603        -14.99876214587109        
11 Feb 1992 15:31:34.000   1254014236.970789         -4484341350.154209        -2871425381.089707        4.542157694761489         -4.880644875224824        -14.99856175404395        
12 Feb 1992 15:31:34.000   1254406676.313257         -4484763024.410819        -2872721248.16896         4.542086334147271         -4.880333304291014        -14.99836137050155        
13 Feb 1992 15:31:34.000   1254799109.488238         -4485184671.752877        -2874017097.935472        4.542014928666383         -4.880021853878116        -14.99816099659931        
14 Feb 1992 15:31:34.000   1255191536.49179          -4485606292.190964        -2875312930.390161        4.54194347672788          -4.879710527838654        -14.99796063428431        
15 Feb 1992 15:31:34.000   1255583957.319837         -4486027885.736004        -2876608745.534118        4.541871977011667         -4.879399330477742        -14.99776028573649        
16 Feb 1992 15:31:34.000   1255976371.968206         -4486449452.399317        -2877904543.368638        4.541800428546019         -4.879088266478785        -14.99755995336407        
17 Feb 1992 15:31:34.000   1256368780.432659         -4486870992.19264         -2879200323.895227        4.541728830775817         -4.878777340854498        -14.99735963979717        
18 Feb 1992 15:31:34.000   1256761182.70893          -4487292505.128156        -2880496087.115636        4.541657183691635         -4.87846655893124         -14.99715934788803        
19 Feb 1992 15:31:34.000   1257153578.792782         -4487713991.21852         -2881791833.031859        4.541585487980043         -4.878155926313898        -14.99695908070371        
20 Feb 1992 15:31:34.000   1257545968.68007          -4488135450.476882        -2883087561.646181        4.541513745008704         -4.877845448793884        -14.99675884148482        
21 Feb 1992 15:31:34.000   1257938352.366802         -4488556882.916898        -2884383272.961155        4.54144195712             -4.87753513231841         -14.99655863364452        
22 Feb 1992 15:31:34.000   1258330729.849234         -4488978288.552743        -2885678966.979649        4.541370127614382         -4.877224982823531        -14.9963584606912         
23 Feb 1992 15:31:34.000   1258723101.12395          -4489399667.399088        -2886974643.704826        4.541298260929841         -4.876915006112394        -14.99615832618017        
24 Feb 1992 15:31:34.000   1259115466.187979         -4489821019.471109        -2888270303.140169        4.541226362731463         -4.876605207656667        -14.99595823361771        
25 Feb 1992 15:31:34.000   1259507825.038885         -4490242344.784421        -2889565945.289437        4.541154439966771         -4.876295592369864        -14.99575818634458        
26 Feb 1992 15:31:34.000   1259900177.674892         -4490663643.355037        -2890861570.156684        4.541082500878176         -4.875986164339125        -14.99555818739176        
27 Feb 1992 15:31:34.000   1260292524.094992         -4491084915.199265        -2892157177.746193        4.541010554931479         -4.875676926532613        -14.99535823931433        
28 Feb 1992 15:31:34.000   1260684864.29904          -4491506160.333628        -2893452768.062458        4.540938612636959         -4.875367880484902        -14.99515834400418        
29 Feb 1992 15:31:34.000   1261077198.287833         -4491927378.774691        -2894748341.110078        4.540866685251762         -4.875059025992311        -14.99495850249829        
01 Mar 1992 15:31:34.000   1261469526.063158         -4492348570.538928        -2896043896.893712        4.54079478436547          -4.874750360861647        -14.99475871480546        
02 Mar 1992 15:31:34.000   1261861847.627803         -4492769735.642529        -2897339435.417976        4.540722921380031         -4.874441880762753        -14.99455897977714        
03 Mar 1992 15:31:34.000   1262254162.985508         -4493190874.101215        -2898634956.68732         4.540651106915542         -4.874133579247982        -14.99435929505471        
04 Mar 1992 15:31:34.000   1262646472.140874         -4493611985.930014        -2899930460.705939        4.540579350226396         -4.873825448112537        -14.9941596571362         
05 Mar 1992 15:31:34.000   1263038775.099226         -4494033071.14334         -2901225947.477704        4.540507658511446         -4.873517477210939        -14.99396006142848        
06 Mar 1992 15:31:34.000   1263431071.866401         -4494454129.754514        -2902521417.006026        4.540436036573099         -4.87320965571913         -14.99376050253704        
07 Mar 1992 15:31:34.000   1263823362.448539         -4494875161.775945        -2903816869.293827        4.540364486521265         -4.872901972082044        -14.99356097448637        
08 Mar 1992 15:31:34.000   1264215646.851841         -4495296167.219053        -2905112304.343508        4.540293007681591         -4.87259441484877         -14.99336147106874        
09 Mar 1992 15:31:34.000   1264607925.082335         -4495717146.094285        -2906407722.156932        4.54022159671588          -4.872286973305908        -14.99316198618489        
10 Mar 1992 15:31:34.000   1265000197.145655         -4496138098.411216        -2907703122.735448        4.540150247949031         -4.871979638059642        -14.99296251417247        
11 Mar 1992 15:31:34.000   1265392463.046859         -4496559024.178686        -2908998506.079947        4.540078953835561         -4.871672401296298        -14.99276305003011        
12 Mar 1992 15:31:34.000   1265784722.790296         -4496979923.404926        -2910293872.190925        4.540007705512436         -4.871365256977899        -14.99256358958279        
13 Mar 1992 15:31:34.000   1266176976.379509         -4497400796.097735        -2911589221.068555        4.539936493353618         -4.871058200974442        -14.99236412959366        
14 Mar 1992 15:31:34.000   1266569223.817195         -4497821642.26463         -2912884552.712768        4.539865307460657         -4.870751231053866        -14.99216466780026        
